,loss,cumulative_rewards,num_steps,success_rates,value of epsilon
0,33.15388870239258,-794,199,0,0.999
1,31.579288482666016,-704,199,0,0.9989714861216288
2,35.431793212890625,-254,94,1,0.9989429730579281
3,28.485280990600586,-722,199,0,0.9989144608088748
4,33.843204498291016,-749,199,0,0.9988859493744456
5,33.10457229614258,-785,199,0,0.9988574387546172
6,36.97873306274414,-749,199,0,0.9988289289493661
7,33.73683166503906,-848,199,0,0.9988004199586694
8,35.30824279785156,-803,199,0,0.9987719117825036
9,24.4997615814209,-225,74,1,0.9987434044208454
10,23.649351119995117,-731,199,0,0.9987148978736717
11,25.938308715820312,-767,199,0,0.9986863921409592
12,32.703372955322266,-803,199,0,0.9986578872226846
13,32.68559265136719,-839,199,0,0.9986293831188245
14,36.37194061279297,-749,199,0,0.9986008798293557
15,22.66318702697754,-767,199,0,0.9985723773542551
16,33.91117858886719,-830,199,0,0.9985438756934991
17,30.872943878173828,-722,199,0,0.9985153748470649
18,28.53307342529297,-749,199,0,0.9984868748149287
19,26.275835037231445,-722,199,0,0.9984583755970676
20,35.928199768066406,-830,199,0,0.9984298771934582
21,36.49419403076172,-794,199,0,0.9984013796040774
22,32.08525466918945,-776,199,0,0.9983728828289018
23,25.982643127441406,-749,199,0,0.998344386867908
24,26.73953628540039,-704,199,0,0.9983158917210729
25,37.763084411621094,-677,199,0,0.9982873973883734
26,22.831567764282227,-740,199,0,0.9982589038697858
27,20.692487716674805,-659,199,0,0.9982304111652873
28,32.83644104003906,-767,199,0,0.9982019192748544
29,29.891197204589844,-866,199,0,0.9981734281984638
30,27.671730041503906,-374,106,1,0.9981449379360924
31,29.682188034057617,-803,199,0,0.9981164484877169
32,22.38068389892578,-794,199,0,0.9980879598533139
33,29.5489559173584,-902,199,0,0.9980594720328604
34,29.961023330688477,-848,199,0,0.9980309850263329
35,29.93642807006836,-632,199,0,0.9980024988337083
36,23.304548263549805,-875,199,0,0.9979740134549632
37,26.657344818115234,-830,199,0,0.9979455288900745
38,25.892908096313477,-740,199,0,0.9979170451390189
39,27.100770950317383,-857,199,0,0.9978885622017731
40,32.50190734863281,-785,199,0,0.9978600800783138
41,26.232452392578125,-659,199,0,0.997831598768618
42,24.580402374267578,-884,199,0,0.9978031182726622
43,31.79242515563965,-713,199,0,0.9977746385904233
44,26.828041076660156,-776,199,0,0.9977461597218779
45,28.68959617614746,-668,199,0,0.9977176816670029
46,26.96630096435547,-821,199,0,0.9976892044257748
47,36.15544128417969,-718,180,1,0.9976607279981707
48,23.960285186767578,-803,199,0,0.9976322523841672
49,34.525108337402344,-731,199,0,0.997603777583741
50,24.258804321289062,-740,199,0,0.9975753035968689
51,25.09491729736328,-713,199,0,0.9975468304235278
52,22.926467895507812,-857,199,0,0.9975183580636942
53,26.958404541015625,-794,199,0,0.9974898865173449
54,27.749309539794922,-650,199,0,0.9974614157844568
55,32.597171783447266,-767,199,0,0.9974329458650066
56,24.137544631958008,-768,185,1,0.9974044767589711
57,27.375656127929688,-875,199,0,0.9973760084663269
58,21.275741577148438,-794,199,0,0.997347540987051
59,28.554685592651367,-740,199,0,0.9973190743211199
60,22.794584274291992,-893,199,0,0.9972906084685106
61,19.99909782409668,-758,199,0,0.9972621434291997
62,22.097158432006836,-848,199,0,0.9972336792031641
63,22.49300193786621,-821,199,0,0.9972052157903805
64,19.25301170349121,-713,199,0,0.9971767531908254
65,19.90711212158203,-812,199,0,0.9971482914044759
66,20.86937713623047,-785,199,0,0.9971198304313089
67,18.6185245513916,-839,199,0,0.9970913702713008
68,20.251102447509766,-839,199,0,0.9970629109244286
69,23.424800872802734,-740,199,0,0.9970344523906688
70,18.151180267333984,-821,199,0,0.9970059946699984
71,22.09612464904785,-821,199,0,0.9969775377623942
72,17.773517608642578,-749,199,0,0.9969490816678328
73,17.588729858398438,-767,199,0,0.9969206263862911
74,14.997912406921387,-821,199,0,0.9968921719177459
75,17.260639190673828,-704,199,0,0.9968637182621738
76,12.010923385620117,-704,199,0,0.9968352654195517
77,18.28470802307129,-704,199,0,0.9968068133898563
78,13.793168067932129,-911,199,0,0.9967783621730645
79,16.935062408447266,-821,199,0,0.9967499117691531
80,17.800975799560547,-839,199,0,0.9967214621780985
81,15.576436996459961,-902,199,0,0.996693013399878
82,14.257317543029785,-785,199,0,0.9966645654344679
83,12.938112258911133,-803,199,0,0.9966361182818454
84,11.784993171691895,-857,199,0,0.996607671941987
85,16.424083709716797,-740,199,0,0.9965792264148696
86,11.254867553710938,-740,199,0,0.9965507817004698
87,14.672624588012695,-758,199,0,0.9965223377987646
88,13.885353088378906,-749,199,0,0.9964938947097307
89,12.407907485961914,-830,199,0,0.9964654524333448
90,14.621628761291504,-821,199,0,0.9964370109695839
91,12.635817527770996,-686,199,0,0.9964085703184247
92,9.708619117736816,-821,199,0,0.9963801304798438
93,11.973844528198242,-848,199,0,0.996351691453818
94,12.221014976501465,-848,199,0,0.9963232532403243
95,8.374923706054688,-812,199,0,0.9962948158393393
96,7.705587863922119,-821,199,0,0.99626637925084
97,6.491446018218994,-794,199,0,0.9962379434748031
